Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
TAJ,Blake2S,PoW/PoS,12184195.9258495,36900000.0,-0.4176399566161625,1.84624833545134,-0.5671041665842648,TajCoin,3
IMX,X11,PoW/PoS,110630387.850471,110000000.0,-0.3878867949401566,1.1787582454105994,-0.4062732678965716,Impact,3
EB3,Scrypt,PoW,64096052.0,4000000000.0,-0.1404288692545931,-1.1270229987541303,0.0029539562602086604,EB3coin,0
ATMOS,PoS,PoS,111135836.889,110290030.0,-0.3506351620086652,1.5530757128823438,-0.08903840385924795,Atmos,3
HPC,X11,PoW/PoS,21521322.0099142,100000000.0,-0.38904617369114125,1.1787282367376213,-0.406245688784343,HappyCoin,3
CXT,NIST5,PoW,10123200.0,48252000.0,-0.18586595039941692,-0.658742876250858,-0.014586390562453038,Coinonat,0
MCRN,PoS,PoS,401421401.0,400000000.0,-0.3450348380600596,1.553053894894214,-0.08915702836041647,MacronCoin,3
RAIN,X11,PoW/PoS,121665451.643876,500000000.0,-0.3849862885015995,1.1785811746848096,-0.40632019827256693,Condensate,3
IMS,Scrypt,PoW/PoS,5368934.0,21212121.0,-0.33773454291079463,0.9872675023471609,-0.4274369869261587,Independent Money System,3
ARGUS,Scrypt,PoW/PoS,1148324.0,28600000.0,-0.33773370577512957,0.9872624251329148,-0.42743656061386887,ArgusCoin,3
LMC,Scrypt,PoW/PoS,500000.0,1000000000.0,-0.33085287054335627,0.9868104400413245,-0.4275450992859432,LomoCoin,3
PROC,SHA-256,PoS,100545745.0,75000000000.0,0.26176124774944487,0.5900830174338673,-0.06095496925493819,ProCurrency,3
XGR,X11,PoW/PoS,17171382.0,40000000.0,-0.3895248024110245,1.178754446798909,-0.40623768117866715,GoldReserve,3
BENJI,Scrypt,PoW,20276099.146524,35520400.0,-0.16907852629630538,-1.1251964292303507,0.003410721951096579,BenjiRolls,0
GRW,Scrypt,PoS,295135466.361878,2000000000.0,-0.2762125575267142,0.801954792139963,-0.1953563527360565,GrowthCoin,3
